structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
"Orbital area, ventrolateral part, layer 2/3",0,0,0,0.19390625,0.167234375,0.361140625,0,0
"Temporal association areas, layer 5",0,0,0,0.3825625,0.31134375,0.69390625,0,0
Bed nucleus of the accessory olfactory tract,0,0,0,0.0100625,0.01053125,0.02059375,0,0
"Anterior cingulate area, ventral part, layer 2/3",0,0,0,0.234625,0.2248125,0.4594375,0,0
Magnocellular nucleus,0,0,0,0.1265625,0.159265625,0.285828125,0,0
stria terminalis,0,0,0,0.151671875,0.13565625,0.287328125,0,0
"Basolateral amygdalar nucleus, anterior part",0,0,0,0.31221875,0.3151875,0.62740625,0,0
"Prelimbic area, layer 2/3",0,0,0,0.162765625,0.154328125,0.31709375,0,0
"Primary visual area, layer 6b",0,0,0,0.056625,0.0620625,0.1186875,0,0
Septofimbrial nucleus,0,0,0,0.206328125,0.2346875,0.441015625,0,0
"Basolateral amygdalar nucleus, posterior part",0,0,0,0.29475,0.31575,0.6105,0,0
"Agranular insular area, posterior part, layer 6a",0,0,0,0.202625,0.153921875,0.356546875,0,0
Supragenual nucleus,0,0,0,0.01521875,0.01440625,0.029625,0,0
"Primary motor area, Layer 1",0,0,0,0.608875,0.64178125,1.25065625,0,0
Subgeniculate nucleus,0,0,0,0.013,0.012703125,0.025703125,0,0
Suprageniculate nucleus,0,0,0,0.08090625,0.0828125,0.16371875,0,0
"Basomedial amygdalar nucleus, anterior part",0,0,0,0.292546875,0.319828125,0.612375,0,0
"Agranular insular area, dorsal part, layer 2/3",0,0,0,0.32946875,0.371078125,0.700546875,0,0
"Retrosplenial area, dorsal part, layer 6b",0,0,0,0.011265625,0.01215625,0.023421875,0,0
Accessory supraoptic group,0,0,0,0.002421875,0.00259375,0.005015625,0,0
Septohippocampal nucleus,0,0,0,0.01584375,0.016453125,0.032296875,0,0
"Basomedial amygdalar nucleus, posterior part",0,0,0,0.2865625,0.324078125,0.610640625,0,0
"Perirhinal area, layer 6a",0,0,0,0.01959375,0.016828125,0.036421875,0,0
superior colliculus commissure,0,0,0,0.011484375,0.014046875,0.02553125,0,0
Subfornical organ,0,0,0,0.008921875,0.011296875,0.02021875,0,0
Substantia innominata,0,0,0,1.045359375,1.315828125,2.3611875,0,0
"Agranular insular area, posterior part, layer 5",0,0,0,0.3488125,0.256796875,0.605609375,0,0
supraoptic commissures,0,0,0,0.01003125,0.009984375,0.020015625,0,0
Bed nuclei of the stria terminalis,0,0,0,0.51546875,0.621921875,1.137390625,0,0
"Agranular insular area, posterior part, layer 6b",0,0,0,0.009703125,0.006671875,0.016375,0,0
Preparasubthalamic nucleus,0,0,0,0.0046875,0.004671875,0.009359375,0,0
Mediodorsal nucleus of thalamus,0,0,0,0.621359375,0.621046875,1.24240625,0,0
"Prelimbic area, layer 5",0,0,0,0.386609375,0.369671875,0.75628125,0,0
Parasubthalamic nucleus,0,0,0,0.058015625,0.05765625,0.115671875,0,0
Submedial nucleus of the thalamus,0,0,0,0.126765625,0.128109375,0.254875,0,0
"Perirhinal area, layer 6b",0,0,0,0.004546875,0.004046875,0.00859375,0,0
Infracerebellar nucleus,0,0,0,0.020734375,0.0204375,0.041171875,0,0
"Substantia nigra, compact part",0,0,0,0.074578125,0.077734375,0.1523125,0,0
"Posterolateral visual area, layer 6a",0,0,0,0.03440625,0.033109375,0.067515625,0,0
cuneate fascicle,0,0,0,0.009828125,0.010703125,0.02053125,0,0
"Substantia nigra, reticular part",0,0,0,0.591171875,0.61859375,1.209765625,0,0
Field CA1,0,0,0,4.08753125,4.050828125,8.138359375,0,0
Supraoptic nucleus,0,0,0,0.017796875,0.0186875,0.036484375,0,0
"Posterolateral visual area, layer 6b",0,0,0,0.002765625,0.00296875,0.005734375,0,0
ventral tegmental decussation,0,0,0,0.014578125,0.016953125,0.03153125,0,0
"Anteromedial visual area, layer 4",0,0,0,0.019359375,0.0206875,0.040046875,0,0
Medial amygdalar nucleus,0,0,0,0.77428125,0.80403125,1.5783125,0,0
"Orbital area, lateral part, layer 2/3",0,0,0,0.221796875,0.19534375,0.417140625,0,0
vestibular nerve,0,0,0,0.070234375,0.06221875,0.132453125,0,0
"Lateral visual area, layer 1",0,0,0,0.068296875,0.069828125,0.138125,0,0
"Subparafascicular nucleus, parvicellular part",0,0,0,0.054125,0.056859375,0.110984375,0,0
Field CA2,0,0,0,0.20865625,0.1993125,0.40796875,0,0
Ectorhinal area/Layer 2/3,0,0,0,0.202140625,0.15671875,0.358859375,0,0
medial corticohypothalamic tract,0,0,0,0.003265625,0.00371875,0.006984375,0,0
"Spinal nucleus of the trigeminal, caudal part",0,0,0,0.711890625,0.778109375,1.49,0,0
"Retrosplenial area, ventral part, layer 2/3",0,0,0,0.40503125,0.41609375,0.821125,0,0
"Anteromedial visual area, layer 5",0,0,0,0.075015625,0.081484375,0.1565,0,0
"Retrosplenial area, dorsal part, layer 2/3",0,0,0,0.349828125,0.364484375,0.7143125,0,0
"Spinal nucleus of the trigeminal, interpolar part",0,0,0,0.67228125,0.657296875,1.329578125,0,0
"Orbital area, lateral part, layer 6a",0,0,0,0.179796875,0.168828125,0.348625,0,0
"Anteromedial visual area, layer 6b",0,0,0,0.00896875,0.009375,0.01834375,0,0
"Retrosplenial area, dorsal part, layer 1",0,0,0,0.299875,0.31715625,0.61703125,0,0
dorsal hippocampal commissure,0,0,0,0.352078125,0.370515625,0.72259375,0,0
"Spinal nucleus of the trigeminal, oral part",0,0,0,0.324984375,0.29075,0.615734375,0,0
"Orbital area, lateral part, layer 1",0,0,0,0.131828125,0.112359375,0.2441875,0,0
ventral hippocampal commissure,0,0,0,0.029515625,0.03234375,0.061859375,0,0
"Primary somatosensory area, upper limb, layer 1",0,0,0,0.202609375,0.195296875,0.39790625,0,0
"Basolateral amygdalar nucleus, ventral part",0,0,0,0.1659375,0.181359375,0.347296875,0,0
Median preoptic nucleus,0,0,0,0.01103125,0.021546875,0.032578125,0,0
"Posterior auditory area, layer 6b",0,0,0,0.00675,0.00665625,0.01340625,0,0
Midbrain trigeminal nucleus,0,0,0,0.005828125,0.005421875,0.01125,0,0
"Primary somatosensory area, trunk, layer 6b",0,0,0,0.013484375,0.013265625,0.02675,0,0
Field CA3,0,0,0,2.800015625,2.692484375,5.4925,0,0
alveus,0,0,0,0.581515625,0.560375,1.141890625,0,0
"posteromedial visual area, layer 6b",0,0,0,0.009359375,0.010671875,0.02003125,0,0
Subthalamic nucleus,0,0,0,0.075234375,0.07403125,0.149265625,0,0
Striatum,0,0,0,1.056,1.158109375,2.214109375,0,0
brachium of the inferior colliculus,0,0,0,0.089859375,0.090859375,0.18071875,0,0
Medial habenula,0,0,0,0.142578125,0.143734375,0.2863125,0,0
"Orbital area, medial part, layer 1",0,0,0,0.136921875,0.155375,0.292296875,0,0
"Orbital area, lateral part, layer 6b",0,0,0,0.017640625,0.01721875,0.034859375,0,0
"posteromedial visual area, layer 4",0,0,0,0.030734375,0.034125,0.064859375,0,0
Subiculum,0,0,0,0.717421875,0.725328125,1.44275,0,0
dorsal acoustic stria,0,0,0,0.004625,0.004671875,0.009296875,0,0
Main olfactory bulb,0,0,0,6.111015625,4.552296875,10.6633125,0,0
